,Town,District,Division,Region,State,Town Type,Transport Name,Party Count
57,Jabalpur,Jabalpur,Jabalpur,Mahakaushal Region,Madhya Pradesh,Municipal Corporation,,13.0
58,Jaora,Ratlam,Ujjain,Malwa Region,Madhya Pradesh,Nagar Palika,,3.0
59,Jhabua,Jhabua,Indore,Malwa Region,Madhya Pradesh,Municipality,,2.0
60,Joura,Morena,Chambal,Gwalior-Chambal Region,Madhya Pradesh,Nagar Panchayat,,1.0
61,Kalapipal Mandi,Shajapur,Ujjain,Malwa Region,Madhya Pradesh,Municipality,,1.0
62,Kannod,Dewas,Ujjain,Malwa Region,Madhya Pradesh,Urban Local Body,,1.0
63,KANPUR,,,,,,,2.0
64,Kareli,Narsinghpur,Jabalpur,Mahakaushal Region,Madhya Pradesh,,,1.0
65,Kasrawad,Khargone,Indore,Nimar Region,Madhya Pradesh,Nagar Panchayat,,2.0
66,Katni,Katni,Jabalpur,Mahakaushal Region,Madhya Pradesh,Municipality,,4.0
67,Katni,Katni,Jabalpur,Mahakaushal Region,Madhya Pradesh,,,4.0
68,Khachrod,Ujjain,Ujjain,Malwa Region,Madhya Pradesh,Nagar Palika,,1.0
69,Khandwa,Khandwa,Indore,Nimar Region,Madhya Pradesh,Municipality,,7.0
70,Khargone,Khargone,Indore,Nimar Region,Madhya Pradesh,Municipality,,8.0
71,Khategaon,Dewas,Ujjain,Malwa Region,Madhya Pradesh,Urban Local Body,,3.0
72,Khetiya,Barwani,Indore,Nimar Region,Madhya Pradesh,Nagar Panchayat,,1.0
73,Khirkiya,Harda,Narmadapuram,Narmadapuram Region,Madhya Pradesh,Nagar Parishad,,1.0
74,Kukshi,Dhar,Indore,Malwa Region,Madhya Pradesh,Municipality,,3.0
75,Maheshwar,Khargone,Indore,Nimar Region,Madhya Pradesh,Nagar Panchayat,,3.0
76,Mahidpur,Ujjain,Ujjain,Malwa Region,Madhya Pradesh,Nagar Palika,,1.0
77,Maihar,Maihar,Rewa,Baghelkhand Region,Madhya Pradesh,Nagar Palika,,2.0
78,Maihar,Satna,Rewa,Baghelkhand Region,Madhya Pradesh,,,2.0
79,Makdon,Ujjain,Ujjain,Malwa Region,Madhya Pradesh,Nagar Parishad,,1.0
80,Maksi,Shajapur,Ujjain,Malwa Region,Madhya Pradesh,Nagar Parishad,,2.0
81,Manasa,Neemuch,Ujjain,Malwa Region,Madhya Pradesh,Nagar Panchayat,,2.0
82,Manawar,Dhar,Indore,Malwa Region,Madhya Pradesh,Municipality,,1.0
83,Mandla,Mandla,Jabalpur,Mahakaushal Region,Madhya Pradesh,,,2.0
84,Mandsaur,Mandsaur,Ujjain,Malwa Region,Madhya Pradesh,Nagar Palika,,3.0
